"ID","Opcoes","Informacao"
1,"1 - Fundo de Renda Fixa","Fundos com pelo menos 80% do patrimônio aplicado em ativos vinculados à variação da taxa de juros e/ou índices de preços. Possuem CDBs, Títulos Públicos e outros papéis em suas carteiras, com risco médio."
2,"2 - Títulos Públicos","Aplicações na dívivida pública gerida pelo Tesouro Nacional. Podem ser pré-fixados - com resgate apenas no vencimento do título, já se sabe exatamente quanto vai receber de retorno -, pós-fixados - os critérios de remuneração são conhecidos, mas podem variar por serem atrelados a um indexador - e híbridos, com parte da remuneração definida no momento da compra e parte atrelada à variação de um indexador. Seus principais exemplos são: Tesouro Selic (LFT), Tesouro Prefixado sem (LTN) ou com Juros Semestrais (NTN-F), Tesouro IPCA+ (NTN-B Principal) e Tesouro IPCA+ com Juros Semestrais (NTN-B), com baixo risco."
3,"3 - Certificado de Depósito Bancário (CDB)","Aplicações de empréstimo para bancos financiarem atividades de crédito. O indicador mais comum é a taxa CDI (Certificado de Depósito Interbancário). Podem ser pré-fixados ou pós-fixados. Possuem baixo risco"
4,"4 - Letra de Crédito Imobiliário (LCI)",,"As letras de crédito imobiliário, por exemplo, são lastreadas na carteira de empréstimos relacionados ao setor imobiliário mantida pelas instituições emissoras. Elas podem ser lançadas pelos bancos, mas não apenas. Também podem ser utilizadas por sociedades de crédito imobiliário, associações de poupança e empréstimo e companhias hipotecárias que queiram captar recursos.. Podem ser pré-fixados ou pós-fixados, geralmente atrelados a taxa DI. Seu risco pode ser médio ou alto, dependendo do emissor."
5,"5 - Letra de Crédito do Agronegócio (LCA)","As letras de crédito do agronegócio são títulos usados para captar recursos para os participantes da cadeia do agronegócio. O lastro das LCAs podem ser empréstimos concedidos a produtores rurais ou cooperativas, incluindo financiamentos relacionados tanto à produção quanto à comercialização, beneficiamento ou industrialização de produtos agropecuários, insumos ou até máquinas e implementos usados no setor. Podem ser pré-fixados ou pós-fixados, com risco médio ou alto, dependendo do emissor."
6,"6 - Certificado de Recebíveis Imobiliários (CRI)","Certificado de Recebíveis Imobiliários é um investimento destinado a financiar transações do mercado imobiliário, semelhante à LCI. Eles são títulos emitidos por instituições que não pertençam ao setor financeiro para financiar a execução de projetos de expansão no ramo imobiliário. Pode ser pré ou pós-fixado, com risco alto."
7,"7 - Certificado de Recebíveis do Agronegócio (CRA)","Certificado de Recebíveis do Agronegócio é bastante parecido com o CRI. A maior diferença é que ele é destinado ao agronegócio. Por isso, pode-se dizer que ele tem algumas semelhanças com a LCA (Letra de Crédito do Agronegócio). Pode ser pós ou pré-fixado, com alto risco."
8,"8 - Debêntures","Debênture é um título de crédito representativo de um empréstimo que uma companhia realiza junto a terceiros e que assegura a seus detentores direito contra a emissora, estabelecidos na escritura de emissão. Podem ser pré ou pós-fixados, com alto risco."
9,"9 - Letras de Câmbio (LC)","Letra de Câmbio, ou simplesmente LC, é um título de crédito emitido por instituições financeiras que representa uma ordem de pagamento. A Letra de Câmbio é emitida por sociedades de crédito, financiamento e investimentos — ou seja: instituições financeiras de modo geral. Ao comprar uma Letra de Câmbio, você está “emprestando” dinheiro à financeira que emitiu o título e, em troca, receberá o valor acrescido de juros e correção monetária. Podem ser pré-fixados ou pós-fixados, com alto risco."
10,"10 - Mercado à vista em Bolsa de Valores","Forma tradicional de negociação de ações. No Brasil, as negociação são feitas pela Bolsa de Valores B3. Tem retornos relacionados às variações dos preços da ações negociadas e o risco é médio ou alto."
