"ID","Questao"
1,"Por quanto tempo você pretende deixar seu dinheiro investido?"
2,"Qual o objetivo desse investimento?"
3,"Quais as aplicações financeiras realizadas nos últimos 24 meses?"
4,"Qual das alternativas melhor classica sua formação e experiência com o mercado financeiro?"
5,"Considerando seus rendimentos regulares, qual a porcentagem você pretende reservar para aplicações financeiras?"
6,"Caso as suas aplicações sofressem uma queda superior a 30%, o que você faria?"
7,"Como está distribuído o seu patrimônio?"
8,"Em relação as aplicações e rendimentos, em qual dessas situações você se enquadra?"

 
